ID,Name
1423,
1424,
1425,
1687,
1688,
1689,
1698,
1706,
1707,
1709,
1718,
1719,
1722,
1725,
1736,
1743,
1750,
1755,
1756,
1763,
1765,
1770,
1776,
1777,
1778,
1779,
1784,
1825,
1832,
1841,
1847,
1865,
1880,
1881,
1882,
1899,
1900,
1906,
1907,
1908,
1909,
1910,
1937,
1947,
1971,
2047,
2053,
2054,
2055,
2063,
2106,
2119,
2120,
2122,
2139,
2245,
2246,
2247,
2248,
2249,
2253,
2260,
5006,StatsReset
5007,GetCurrentInterface
5008,GetSupportedInterfaces
5015,PagerMotorAvail
6000,Beeper_LED
6001,ParameterDefaults
6002,ParameterBuffer
6003,BeepOnNextBootup
6004,Reboot
6005,HostTriggerSession
6013,StatsResetAll
6016,
6022,ChangeAllCodeTypes
6029,
6030,
6033,
6036,
6041,
15002,
15003,
15004,
15005,
15006,
15007,
15008,
15009,
15010,
15011,PowerUpCount
15012,
15013,TimePoweredOnOverLifeTime
15014,
15015,TimeSinceLastPowerUp
15016,
15019,
15020,
15109,TotalDecodeCount
15110,
15117,SymbologyTypeOfLastScannedBarcode
15118,
15119,
15120,
15121,
15267,USBResetCounts
15268,
15269,USBSuspends
15270,
15271,USBResumes
15272,
15273,USBEnumerations
15274,
15275,HostInterfaceState
15276,
15277,HostProtocolFailureCount
15278,
15297,
15298,
15402,DecodeTimeOfLastScannedBarcode
15407,
15408,
15409,
15410,
15411,
15412,
15413,
15414,
15415,
15416,
15417,
15418,
15419,
15420,
15421,UPCDecodeCount
15422,
15423,
15424,UPCMinDecodeTime
15425,UPCMaxDecodeTime
15426,UPCAvgDecodeTime
15427,
15428,EANJANDecodeCount
15429,
15430,
15431,EANJANMinDecodeTime
15432,EANJANMaxDecodeTime
15433,EANJANAvgDecodeTime
15434,
15435,Code39DecodeCount
15436,
15437,
15438,Code39MinDecodeTime
15439,Code39MaxDecodeTime
15440,Code39AvgDecodeTime
15441,
15442,Code128DecodeCount
15443,
15444,
15445,Code128MinDecodeTime
15446,Code128MaxDecodeTime
15447,Code128AvgDecodeTime
15448,
15449,
15450,
15451,
15452,
15453,
15454,
15455,
15456,CodabarDecodeCount
15457,
15458,
15459,CodabarMinDecodeCount
15460,CodabarMaxDecodeCount
15461,CodabarAvgDecodeTime
15462,
15463,Code93DecodeCount
15464,
15465,
15466,Code93MinDecodeTime
15467,Code93MaxDecodeTime
15468,Code93AvgDecodeTime
15469,
15470,MSIDecodeCount
15471,
15472,
15473,MSIMinDecodeTime
15474,MSIMaxDecodeTime
15475,MSIAvgDecodeTime
15476,
15477,Code11DecodeCount
15478,
15479,
15480,Code11MinDecodeTime
15481,Code11MaxDecodeTime
15482,Code11AvgDecodeTime
15483,
15484,PDFDecodeCount
15485,
15486,
15487,PDFMinDecodeTime
15488,PDFMaxDecodeTime
15489,PDFAvgDecodeTime
15490,
15491,DatamatrixDecodeCount
15492,
15493,
15494,DatamatrixMinDecodeTime
15495,DatamatrixMaxDecodeTime
15496,DatamatrixAvgDecodeTime
15497,
15498,QRDecodeCount
15499,
15500,
15501,QRMinDecodeTime
15502,QRMaxDecodeTime
15503,QRAvgDecodeTime
15504,
15505,PostalCodesDecodeCount
15506,
15507,
15508,PostalCodeMinDecodeTime
15509,PostalCodeMaxDecodeTime
15510,PostalCodeAvgDecodeTime
15511,
15512,GS1DatabarDecodeCount
15513,
15514,
15515,GS1DatabarMinDecodeTime
